,0,1,2,3,4,5,6,7,8,9,10
0,Season,Level,League,Division,Finish,Wins,Losses,Win%,GB,Playoffs,Awards
1,Brooklyn Grays,,,,,,,,,,
2,1883,,IA†,,1st,44,28,.611,—,,
3,1884,MLB,AA,,9th,40,64,.385,33½,,
4,1885,MLB,AA,,5th,53,59,.473,26,,
5,1886,MLB,AA,,3rd,76,61,.555,16,,
6,1887,MLB,AA,,6th,60,74,.448,34½,,
7,Brooklyn Bridegrooms,,,,,,,,,,
8,1888,MLB,AA,,2nd,88,52,.629,6½,,
9,1889,MLB,AA †,,1st,93,44,.679,—,Lost World Series (Giants) 6–3,
10,1890,MLB,NL †,,1st,86,43,.667,—,Tied World Series (Colonels) 3–3–1,
11,1891,MLB,NL,,6th,61,76,.455,25½,,
12,1892,MLB,NL,,3rd,95,59,.617,9,,
13,1893,MLB,NL,,7th,65,63,.508,20½,,
14,1894,MLB,NL,,5th,70,61,.534,20½,,
15,1895,MLB,NL,,5th,71,60,.542,16½,,
16,1896,MLB,NL,,10th,58,73,.443,33,,
17,1897,MLB,NL,,7th,61,71,.462,32,,
18,1898,MLB,NL,,10th,54,91,.372,46,,
19,Brooklyn Superbas,,,,,,,,,,
20,1899,MLB,NL †,,1st,101,47,.682,—,,
21,1900,MLB,NL †,,1st,82,54,.603,—,Won Chronicle-Telegraph Cup (Pirates) 4–1 †,
22,1901,MLB,NL,,3rd,79,57,.581,9½,,
23,1902,MLB,NL,,2nd,75,63,.543,27½,,
24,1903,MLB,NL,,5th,70,66,.515,19,,
25,1904,MLB,NL,,6th,56,97,.366,50,,
26,1905,MLB,NL,,8th,48,104,.316,56½,,
27,1906,MLB,NL,,5th,66,86,.434,50,,
28,1907,MLB,NL,,5th,65,83,.439,40,,
29,1908,MLB,NL,,7th,53,101,.344,46,,
30,1909,MLB,NL,,6th,55,98,.359,55½,,
31,1910,MLB,NL,,6th,64,90,.416,40,,
32,Brooklyn Dodgers,,,,,,,,,,
33,1911,MLB,NL,,7th,64,86,.427,33½,,
34,1912,MLB,NL,,7th,58,95,.379,46,,
35,1913,MLB,NL,,6th,65,84,.436,34½,,Jake Daubert (MVP)
36,Brooklyn Robins,,,,,,,,,,
37,1914,MLB,NL,,5th,75,79,.487,19½,,
38,1915,MLB,NL,,3rd,80,72,.526,10,,
39,1916,MLB,NL *,,1st,94,60,.610,—,Lost World Series (Red Sox) 4–1 *,
40,1917,MLB,NL,,7th,70,81,.464,26½,,
41,1918,MLB,NL,,5th,57,69,.452,25½,,
42,1919,MLB,NL,,5th,69,71,.493,27,,
43,1920,MLB,NL *,,1st,93,61,.604,—,Lost World Series (Indians) 5–2 *,
44,1921,MLB,NL,,5th,77,75,.507,16½,,
45,1922,MLB,NL,,6th,76,78,.494,17,,
46,1923,MLB,NL,,6th,76,78,.494,19½,,
47,1924,MLB,NL,,2nd,92,62,.597,1½,,"Dazzy Vance (MVP, TC)"
48,1925,MLB,NL,,7th,68,85,.444,27,,
49,1926,MLB,NL,,6th,71,82,.464,17½,,
50,1927,MLB,NL,,6th,65,88,.425,28½,,
51,1928,MLB,NL,,6th,77,76,.503,17½,,
52,1929,MLB,NL,,6th,70,83,.458,28½,,
53,1930,MLB,NL,,4th,86,68,.558,6,,
54,1931,MLB,NL,,4th,79,73,.520,21,,
55,Brooklyn Dodgers,,,,,,,,,,
56,1932,MLB,NL,,3rd,81,73,.526,9,,
57,1933,MLB,NL,,6th,65,88,.425,26½,,
58,1934,MLB,NL,,6th,71,81,.467,23½,,
59,1935,MLB,NL,,5th,70,83,.458,29½,,
60,1936,MLB,NL,,7th,67,87,.435,25,,
61,1937,MLB,NL,,6th,62,91,.405,33½,,
62,1938,MLB,NL,,7th,69,80,.463,18½,,
63,1939,MLB,NL,,3rd,84,69,.549,12½,,
64,1940,MLB,NL,,2nd,88,65,.575,12,,
65,1941,MLB,NL *,,1st,100,54,.649,—,Lost World Series (Yankees) 4–1 *,Dolph Camilli (MVP)
66,1942,MLB,NL,,2nd,104,50,.675,2,,
67,1943,MLB,NL,,3rd,81,72,.529,23½,,
68,1944,MLB,NL,,7th,63,91,.409,42,,
69,1945,MLB,NL,,3rd,87,67,.565,11,,
70,1946,MLB,NL,,2nd,96,60,.615,2,,
71,1947,MLB,NL *,,1st,94,60,.610,—,Lost World Series (Yankees) 4–3 *,Jackie Robinson (ROY)
72,1948,MLB,NL,,3rd,84,70,.545,7½,,
