,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Season,Team,GP,W,L,T,OTL,Pts,GF,GA,PIM,Finish,Playoffs
1,1967–68,1967–68,74,31,33,10,--,72,200,224,810,2nd in West,"Lost in Quarterfinals, 3–4 (North Stars)"
2,1968–69,1968–69,76,24,42,10,--,58,185,260,698,4th in West,"Won in Quarterfinals, 4–3 (Seals) Lost in Semifinals, 0–4 (Blues)"
3,1969–70,1969–70,76,14,52,10,--,38,168,290,969,6th in West,Did not qualify
4,1970–71,1970–71,78,25,40,13,--,63,239,303,775,5th in West,Did not qualify
5,1971–72,1971–72,78,20,49,9,--,49,206,305,719,7th in West,Did not qualify
6,1972–73,1972–73,78,31,36,11,--,73,232,245,888,6th in West,Did not qualify
7,1973–74,1973–74,78,33,33,12,--,78,233,231,1055,3rd in West,"Lost in Quarterfinals, 1–4 (Blackhawks)"
8,1974–75,1974–75,80,42,17,21,--,105,269,185,1185,2nd in Norris,"Lost in Preliminary Round, 1–2 (Maple Leafs)"
9,1975–76,1975–76,80,38,33,9,--,85,263,265,1022,2nd in Norris,"Won in Preliminary Round, 2–0 (Flames) Lost in Quarterfinals, 3–4 (Bruins)"
10,1976–77,1976–77,80,34,31,15,--,83,271,241,1186,2nd in Norris,"Won in Preliminary Round, 2–1 (Flames) Lost in Quarterfinals, 2–4 (Bruins)"
11,1977–78,1977–78,80,31,34,15,--,77,243,245,903,3rd in Norris,"Lost in Preliminary Round, 0–2 (Maple Leafs)"
12,1978–79,1978–79,80,34,34,12,--,80,292,286,1134,3rd in Norris,"Lost in Preliminary Round, 0–2 (Rangers)"
13,1979–80,1979–80,80,30,36,14,--,74,290,313,1124,2nd in Norris,"Lost in Preliminary Round, 1–3 (Islanders)"
14,1980–81,1980–81,80,43,24,13,--,99,337,290,1627,2nd in Norris,"Lost in Preliminary Round, 1–3 (Rangers)"
15,1981–82,1981–82,80,24,41,15,--,63,314,369,1730,4th in Smythe,"Won in Division Semifinals, 3–2 (Oilers) Lost in Division Finals, 1–4 (Canucks)"
