,Season,Wins,Losses,Win_Percent,Rolling_Mean
0,1980.0,54.0,28.0,0.6585365853658537,0.6158536585365855
1,1981.0,57.0,25.0,0.6951219512195121,0.601219512195122
2,1982.0,58.0,24.0,0.7073170731707317,0.5987804878048781
3,1983.0,54.0,28.0,0.6585365853658537,0.6073170731707317
4,1984.0,62.0,20.0,0.7560975609756098,0.646341463414634
5,1985.0,62.0,20.0,0.7560975609756098,0.673170731707317
6,1986.0,65.0,17.0,0.7926829268292683,0.6878048780487804
7,1987.0,62.0,20.0,0.7560975609756098,0.7085365853658535
8,1988.0,57.0,25.0,0.6951219512195121,0.720731707317073
9,1989.0,63.0,19.0,0.7682926829268293,0.724390243902439
10,1990.0,58.0,24.0,0.7073170731707317,0.7292682926829268
11,1991.0,43.0,39.0,0.524390243902439,0.7121951219512195
12,1992.0,39.0,43.0,0.47560975609756095,0.6890243902439024
13,1993.0,33.0,49.0,0.4024390243902439,0.6634146341463414
14,1994.0,48.0,34.0,0.5853658536585366,0.646341463414634
15,1995.0,53.0,29.0,0.6463414634146342,0.6353658536585366
16,1996.0,56.0,26.0,0.6829268292682927,0.6243902439024389
17,1997.0,61.0,21.0,0.7439024390243902,0.6231707317073171
18,1998.0,31.0,19.0,0.62,0.6156585365853658
19,1999.0,67.0,15.0,0.8170731707317073,0.6205365853658537
20,2000.0,56.0,26.0,0.6829268292682927,0.6180975609756097
21,2001.0,58.0,24.0,0.7073170731707317,0.6363902439024389
22,2002.0,50.0,32.0,0.6097560975609756,0.6498048780487804
23,2003.0,56.0,26.0,0.6829268292682927,0.6778536585365853
24,2004.0,34.0,48.0,0.4146341463414634,0.660780487804878
25,2005.0,45.0,37.0,0.5487804878048781,0.6510243902439024
26,2006.0,42.0,40.0,0.5121951219512195,0.633951219512195
27,2007.0,57.0,25.0,0.6951219512195121,0.6290731707317072
28,2008.0,65.0,17.0,0.7926829268292683,0.646341463414634
29,2009.0,57.0,25.0,0.6951219512195121,0.6341463414634145
30,2010.0,57.0,25.0,0.6951219512195121,0.6353658536585366
31,2011.0,41.0,25.0,0.6212121212121212,0.6267553584626755
32,2012.0,45.0,37.0,0.5487804878048781,0.6206577974870658
33,2013.0,27.0,55.0,0.32926829268292684,0.5852919438285292
34,2014.0,21.0,61.0,0.25609756097560976,0.5694382852919438
35,2015.0,17.0,65.0,0.2073170731707317,0.5352919438285292
36,2016.0,26.0,56.0,0.3170731707317073,0.5157797487065781
