,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Season,League,Conference,Finish,Division,Finish,Wins,Losses,Win%,GB,Playoffs,Awards,Ref.
1,Minneapolis Lakers,,,,,,,,,,,,
2,1948–49,BAA,—,—,Western,2nd,44,16,.733,1,Won Division Semifinals (Stags) 2–0 Won Division Finals (Royals) 2–0 Won BAA Finals (Capitols) 4–2[7],—,[8]
3,1949–50,NBA,—,—,Central,1st[b],51,17,.750,—,Won Division Semifinals (Stags) 2–0 Won Division Finals (Pistons) 2–0 Won NBA Semifinals (Packers) 2–0 Won NBA Finals (Nationals) 4–2[10],—,[11]
4,1950–51,NBA,—,—,Western,1st,44,24,.647,—,Won Division Semifinals (Olympians) 2–1 Lost Division Finals (Royals) 3–1[12],—,[13]
5,1951–52,NBA,—,—,Western,2nd,40,26,.606,1,Won Division Semifinals (Olympians) 2–0 Won Division Finals (Royals) 3–1 Won NBA Finals (Knicks) 4–3[14],—,[15]
6,1952–53,NBA,—,—,Western,1st,48,22,.686,—,Won Division Semifinals (Olympians) 2–0 Won Division Finals (Pistons) 3–2 Won NBA Finals (Knicks) 4–1[16],George Mikan (ASG MVP),[17]
7,1953–54,NBA,—,—,Western,1st,46,26,.639,—,Won Division Finals (Royals) 2–1 Won NBA Finals (Nationals) 4–3[18],—,[19]
8,1954–55,NBA,—,—,Western,2nd,40,32,.556,3,Won Division Semifinals (Royals) 2–1 Lost Division Finals (Pistons) 3–1[20],—,[21]
9,1955–56,NBA,—,—,Western,2nd[c],33,39,.458,4,Lost Division Semifinals (Hawks) 2–1[23],—,[24]
10,1956–57,NBA,—,—,Western,2nd[d],34,38,.472,—,Won Division Semifinals (Pistons) 2–0 Lost Division Finals (Hawks) 3–0[26],—,[27]
11,1957–58,NBA,—,—,Western,4th,19,53,.264,22,—,—,[28]
12,1958–59,NBA,—,—,Western,2nd,33,39,.458,16,Won Division Semifinals (Pistons) 2–1 Won Division Finals (Hawks) 4–2 Lost NBA Finals (Celtics) 4–0[29],"Elgin Baylor (ASG MVP, ROY)",[30]
13,1959–60,NBA,—,—,Western,3rd,25,50,.333,21,Won Division Semifinals (Pistons) 2–0 Lost Division Finals (Hawks) 4–3[31],—,[32]
14,Los Angeles Lakers,,,,,,,,,,,,
15,1960–61[e],NBA,—,—,Western,2nd,36,43,.456,15,Won Division Semifinals (Pistons) 3–2 Lost Division Finals (Hawks) 4–3[33],—,[34]
16,1961–62,NBA,—,—,Western,1st,54,26,.675,—,Won Division Finals (Pistons) 4–2 Lost NBA Finals (Celtics) 4–3[35],—,[36]
17,1962–63,NBA,—,—,Western,1st,53,27,.663,—,Won Division Finals (Hawks) 4–3 Lost NBA Finals (Celtics) 4–2[37],—,[38]
18,1963–64,NBA,—,—,Western,3rd,42,38,.525,6,Lost Division Semifinals (Hawks) 3–2[39],—,[40]
19,1964–65,NBA,—,—,Western,1st,49,31,.613,—,Won Division Finals (Bullets) 4–2 Lost NBA Finals (Celtics) 4–1[41],—,[42]
20,1965–66,NBA,—,—,Western,1st,45,35,.563,—,Won Division Finals (Hawks) 4–3 Lost NBA Finals (Celtics) 4–3[43],—,[44]
21,1966–67,NBA,—,—,Western,3rd,36,45,.444,8,Lost Division Semifinals (Warriors) 3–0[45],—,[46]
22,1967–68,NBA,—,—,Western,2nd,52,30,.634,4,Won Division Semifinals (Bulls) 4–1 Won Division Finals (Warriors) 4–0 Lost NBA Finals (Celtics) 4–2[47],—,[48]
23,1968–69,NBA,—,—,Western,1st,55,27,.671,—,Won Division Semifinals (Warriors) 4–2 Won Division Finals (Hawks) 4–1 Lost NBA Finals (Celtics) 4–3[49],Jerry West (FMVP),[50]
24,1969–70,NBA,—,—,Western,2nd,46,36,.561,2,Won Division Semifinals (Suns) 4–3 Won Division Finals (Hawks) 4–0 Lost NBA Finals (Knicks) 4–3[51],—,[52]
25,1970–71,NBA,Western,2nd,Pacific[f],1st,48,34,.585,—,Won Conference Semifinals (Bulls) 4–3 Lost Conference Finals (Bucks) 4–1[53],—,[54]
26,1971–72,NBA,Western,1st,Pacific,1st,69,13,.841,—,Won Conference Semifinals (Bulls) 4–0 Won Conference Finals (Bucks) 4–2 Won NBA Finals (Knicks) 4–1[55],Wilt Chamberlain (FMVP) Jerry West (ASG MVP) Bill Sharman (COY),[56]
27,1972–73,NBA,Western,2nd,Pacific,1st,60,22,.732,—,Won Conference Semifinals (Bulls) 4–3 Won Conference Finals (Warriors) 4–1 Lost NBA Finals (Knicks) 4–1[57],—,[58]
28,1973–74,NBA,Western,2nd,Pacific,1st,47,35,.573,—,Lost Conference Semifinals (Bucks) 4–1[59],—,[60]
29,1974–75,NBA,Western,9th,Pacific,5th,30,52,.366,18,—,—,[61]
30,1975–76,NBA,Western,6th,Pacific,4th,40,42,.488,19,—,Kareem Abdul-Jabbar (MVP),[62]
31,1976–77,NBA,Western,1st,Pacific,1st,53,29,.646,—,Won Conference Semifinals (Warriors) 4–3 Lost Conference Finals (Trail Blazers) 4–0[63],Kareem Abdul-Jabbar (MVP),[64]
32,1977–78,NBA,Western,5th,Pacific,4th,45,37,.549,13,Lost First Round (SuperSonics) 2–1[65],—,[66]
33,1978–79,NBA,Western,5th,Pacific,3rd,47,35,.573,5,Won First Round (Nuggets) 2–1 Lost Conference Semifinals (SuperSonics) 4–1[67],—,[68]
34,1979–80,NBA,Western,1st,Pacific,1st,60,22,.732,—,Won Conference Semifinals (Suns) 4–1 Won Conference Finals (SuperSonics) 4–1 Won NBA Finals (76ers) 4–2[69],Kareem Abdul-Jabbar (MVP) Magic Johnson (FMVP),[70]
35,1980–81,NBA,Western,3rd,Pacific,2nd,54,28,.659,3,Lost First Round (Rockets) 2–1[71],—,[72]
36,1981–82,NBA,Western,1st,Pacific,1st,57,25,.695,—,Won Conference Semifinals (Suns) 4–0 Won Conference Finals (Spurs) 4–0 Won NBA Finals (76ers) 4–2[73],Magic Johnson (FMVP),[74]
37,1982–83,NBA,Western,1st,Pacific,1st,58,24,.707,—,Won Conference Semifinals (Trail Blazers) 4–1 Won Conference Finals (Spurs) 4–2 Lost NBA Finals (76ers) 4–0[75],—,[76]
38,1983–84,NBA,Western,1st,Pacific,1st,54,28,.659,—,Won First Round (Kings) 3–0 Won Conference Semifinals (Mavericks) 4–1 Won Conference Finals (Suns) 4–2 Lost NBA Finals (Celtics) 4–3[77],—,[78]
39,1984–85,NBA,Western,1st,Pacific,1st,62,20,.756,—,Won First Round (Suns) 3–0 Won Conference Semifinals (Trail Blazers) 4–1 Won Conference Finals (Nuggets) 4–1 Won NBA Finals (Celtics) 4–2[79],Kareem Abdul-Jabbar (FMVP),[80]
40,1985–86,NBA,Western,1st,Pacific,1st,62,20,.756,—,Won First Round (Spurs) 3–0 Won Conference Semifinals (Mavericks) 4–2 Lost Conference Finals (Rockets) 4–1[81],Michael Cooper (JWKC),[82]
41,1986–87,NBA,Western,1st,Pacific,1st,65,17,.793,—,Won First Round (Nuggets) 3–0 Won Conference Semifinals (Warriors) 4–1 Won Conference Finals (SuperSonics) 4–0 Won NBA Finals (Celtics) 4–2[83],"Magic Johnson (MVP, FMVP) Michael Cooper (DPOY)",[84]
42,1987–88,NBA,Western,1st,Pacific,1st,62,20,.756,—,Won First Round (Spurs) 3–0 Won Conference Semifinals (Jazz) 4–3 Won Conference Finals (Mavericks) 4–3 Won NBA Finals (Pistons) 4–3[85],James Worthy (FMVP),[86]
43,1988–89,NBA,Western,1st,Pacific,1st,57,25,.695,—,Won First Round (Trail Blazers) 3–0 Won Conference Semifinals (SuperSonics) 4–0 Won Conference Finals (Suns) 4–0 Lost NBA Finals (Pistons) 4–0[87],Magic Johnson (MVP),[88]
44,1989–90,NBA,Western,1st,Pacific,1st,63,19,.768,—,Won First Round (Rockets) 3–1 Lost Conference Semifinals (Suns) 4–1[89],"Magic Johnson (MVP, ASG MVP) Pat Riley (COY)",[90]
45,1990–91,NBA,Western,3rd,Pacific,2nd,58,24,.707,5,Won First Round (Rockets) 3–0 Won Conference Semifinals (Warriors) 4–1 Won Conference Finals (Trail Blazers) 4–2 Lost NBA Finals (Bulls) 4–1[91],—,[92]
46,1991–92,NBA,Western,8th,Pacific,6th,43,39,.524,14,Lost First Round (Trail Blazers) 3–1[93],"Magic Johnson (ASG MVP, JWKC)",[94]
47,1992–93,NBA,Western,8th,Pacific,5th,39,43,.476,23,Lost First Round (Suns) 3–2[95],—,[96]
48,1993–94,NBA,Western,9th,Pacific,5th,33,49,.402,30,—,—,[97]
49,1994–95,NBA,Western,5th,Pacific,3rd,48,34,.585,11,Won First Round (SuperSonics) 3–1 Lost Conference Semifinals (Spurs) 4–2[98],Del Harris (COY) Jerry West (EOY),[99]
50,1995–96,NBA,Western,4th,Pacific,2nd,53,29,.646,11,Lost First Round (Rockets) 3–1[100],—,[101]
51,1996–97,NBA,Western,4th,Pacific,2nd,56,26,.683,1,Won First Round (Trail Blazers) 3–1 Lost Conference Semifinals (Jazz) 4–1[102],—,[103]
52,1997–98,NBA,Western,3rd,Pacific,2nd[g],61,21,.744,—,Won First Round (Trail Blazers) 3–1 Won Conference Semifinals (SuperSonics) 4–1 Lost Conference Finals (Jazz) 4–0[105],—,[106]
53,1998–99[h],NBA,Western,4th,Pacific,2nd,31,19,.620,4,Won First Round (Rockets) 3–1 Lost Conference Semifinals (Spurs) 4–0[108],—,[109]
